Exp,Wks,BlueCol,Ind,South,SMSA,Married,Sex,Union,Ed,Black,LWage
3,32,no,0,yes,no,yes,male,no,9,no,5.56068
4,43,no,0,yes,no,yes,male,no,9,no,5.72031
5,40,no,0,yes,no,yes,male,no,9,no,5.99645
6,39,no,0,yes,no,yes,male,no,9,no,5.99645
7,42,no,1,yes,no,yes,male,no,9,no,6.06146
8,35,no,1,yes,no,yes,male,no,9,no,6.17379
9,32,no,1,yes,no,yes,male,no,9,no,6.24417
30,34,yes,0,no,no,yes,male,no,11,no,6.16331
31,27,yes,0,no,no,yes,male,no,11,no,6.21461
32,33,yes,1,no,no,yes,male,yes,11,no,6.2634
33,30,yes,1,no,no,yes,male,no,11,no,6.54391
34,30,yes,1,no,no,yes,male,no,11,no,6.69703
35,37,yes,1,no,no,yes,male,no,11,no,6.79122
36,30,yes,1,no,no,yes,male,no,11,no,6.81564
6,50,yes,1,no,no,yes,male,yes,12,no,5.65249
7,51,yes,1,no,no,yes,male,yes,12,no,6.43615
8,50,yes,1,no,no,yes,male,yes,12,no,6.54822
9,52,yes,1,no,no,yes,male,yes,12,no,6.60259
10,52,yes,1,no,no,yes,male,yes,12,no,6.6958
11,52,yes,1,no,no,no,male,yes,12,no,6.77878
12,46,yes,1,no,no,no,male,yes,12,no,6.86066
31,52,yes,0,no,yes,no,female,no,10,yes,6.15698
32,46,yes,0,no,yes,no,female,no,10,yes,6.23832
33,46,yes,0,no,yes,no,female,no,10,yes,6.30079
34,49,yes,0,no,yes,no,female,no,10,yes,6.35957
35,44,yes,0,no,yes,no,female,no,10,yes,6.46925
36,52,yes,0,no,yes,no,female,no,10,yes,6.56244
37,46,yes,0,no,yes,no,female,no,10,yes,6.62141
10,50,yes,0,no,no,yes,male,yes,16,no,6.43775
11,46,yes,0,no,no,yes,male,yes,16,no,6.62007
12,40,yes,0,no,no,yes,male,yes,16,no,6.63332
13,50,no,0,no,no,yes,male,no,16,no,6.98286
14,47,yes,0,no,yes,yes,male,no,16,no,7.04752
15,47,no,0,no,no,yes,male,no,16,no,7.31322
16,49,no,0,no,no,yes,male,no,16,no,7.29574
26,44,yes,1,no,yes,yes,male,no,12,no,6.90575
27,47,yes,1,no,yes,yes,male,no,12,no,6.90575
28,47,yes,1,no,yes,yes,male,no,12,no,6.90776
29,47,yes,1,no,yes,yes,male,no,12,no,7.00307
30,44,yes,1,no,yes,yes,male,no,12,no,7.06902
31,45,yes,1,no,yes,yes,male,no,12,no,7.52023
32,47,yes,1,no,yes,yes,male,no,12,no,7.33889
15,46,yes,0,no,no,yes,male,yes,12,no,6.1334
16,48,yes,0,no,no,yes,male,yes,12,no,6.17379
17,49,yes,0,no,no,yes,male,yes,12,no,6.21261
18,46,yes,0,no,no,yes,male,yes,12,no,6.31355
19,47,yes,0,no,no,yes,male,yes,12,no,6.37502
20,47,yes,0,no,no,yes,male,yes,12,no,6.44572
21,48,yes,0,no,no,yes,male,yes,12,no,6.52209
23,51,yes,1,yes,no,yes,male,yes,10,no,6.3315
24,50,yes,1,yes,no,yes,male,yes,10,no,6.40357
25,50,yes,1,yes,no,yes,male,yes,10,no,6.54391
26,50,yes,1,yes,no,yes,male,yes,10,no,6.56244
27,44,yes,1,no,yes,yes,male,yes,10,no,6.59167
28,51,yes,1,no,yes,yes,male,yes,10,no,6.81783
29,51,yes,1,no,yes,yes,male,yes,10,no,6.89163
3,50,no,0,yes,yes,yes,male,no,16,no,6.55108
4,48,no,0,yes,yes,yes,male,no,16,no,6.55108
5,50,no,0,yes,yes,yes,male,no,16,no,6.80239
6,48,no,0,yes,yes,yes,male,no,16,no,6.90776
7,48,no,0,yes,yes,yes,male,no,16,no,7.09008
8,44,no,0,yes,yes,yes,male,no,16,no,7.17012
9,48,no,0,yes,yes,yes,male,no,16,no,7.20786
3,49,no,0,yes,yes,yes,male,no,16,no,6.39693
4,47,no,0,yes,yes,yes,male,no,16,no,6.43775
